AREA,state,FU,REG,MUX,DEC,pin_pair,net,max,min,ave,MISC,MEM,CP_delay,sim,Pmax,Pmin,Pave,Latency,BlockMemoryBit,DSP,FU,ATTR,ARRAY_1,LOOP_1,LOOP_2,Attr
718,12,179,336,170,0,1547,710,12,12,12.00,33,-,1.0475ns,-,-,-,-,24,-,-,-50,Cyber,array=RAM,folding=0,unroll_times=all,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=folding=0;LOOP_2=unroll_times=all;-50
717,11,262,312,112,0,1421,680,11,11,11.00,31,-,1.5501ns,-,-,-,-,23,-,-,50,Cyber,array=RAM,unroll_times=4,unroll_times=0,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=unroll_times=4;LOOP_2=unroll_times=0;50
1109,3,262,660,181,0,1752,802,3,3,3.00,6,0,1.458ns,-,-,-,-,9,-,-,100,Cyber,array=REG,unroll_times=4,folding=1,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=4;LOOP_2=folding=1;100
1168,4,273,654,210,14,1953,890,4,4,4.00,17,0,2.048ns,-,-,-,-,16,-,-,-100,Cyber,array=REG,folding=0,folding=0,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=folding=0;LOOP_2=folding=0;-100
653,6,273,276,90,0,1227,599,6,6,6.00,14,-,1.5501ns,-,-,-,-,30,-,-,-100,Cyber,array=RAM,folding=0,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=folding=0;LOOP_2=folding=0;-100
717,11,262,312,112,0,1421,680,11,11,11.00,31,-,1.5501ns,-,-,-,-,23,-,-,100,Cyber,array=RAM,unroll_times=4,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=unroll_times=4;LOOP_2=folding=0;100
1168,4,273,654,210,14,1953,890,4,4,4.00,17,0,2.048ns,-,-,-,-,16,-,-,50,Cyber,array=REG,folding=0,folding=0,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=folding=0;LOOP_2=folding=0;50
653,6,273,276,90,0,1227,599,6,6,6.00,14,-,1.5501ns,-,-,-,-,30,-,-,100,Cyber,array=RAM,folding=0,unroll_times=0,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=folding=0;LOOP_2=unroll_times=0;100
1168,4,273,654,210,14,1953,890,4,4,4.00,17,0,2.048ns,-,-,-,-,16,-,-,-50,Cyber,array=REG,unroll_times=0,unroll_times=0,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=0;LOOP_2=unroll_times=0;-50
653,6,273,276,90,0,1227,599,6,6,6.00,14,-,1.5501ns,-,-,-,-,30,-,-,100,Cyber,array=RAM,folding=0,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=folding=0;LOOP_2=folding=0;100
653,6,273,276,90,0,1227,599,6,6,6.00,14,-,1.5501ns,-,-,-,-,30,-,-,0,Cyber,array=RAM,folding=0,unroll_times=0,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=folding=0;LOOP_2=unroll_times=0;0
653,6,273,276,90,0,1227,599,6,6,6.00,14,-,1.5501ns,-,-,-,-,30,-,-,-50,Cyber,array=RAM,folding=0,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=folding=0;LOOP_2=folding=0;-50
717,11,262,312,112,0,1421,680,11,11,11.00,31,-,1.5501ns,-,-,-,-,23,-,-,0,Cyber,array=RAM,unroll_times=4,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=unroll_times=4;LOOP_2=folding=0;0
691,6,273,300,87,0,1266,619,7,7,7.00,31,-,1.1501ns,-,-,-,-,25,-,-,-100,Cyber,array=RAM,folding=0,folding=1,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=folding=0;LOOP_2=folding=1;-100
653,6,273,276,90,0,1227,599,6,6,6.00,14,-,1.5501ns,-,-,-,-,30,-,-,50,Cyber,array=RAM,folding=0,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=folding=0;LOOP_2=folding=0;50
653,6,273,276,90,0,1227,599,6,6,6.00,14,-,1.5501ns,-,-,-,-,30,-,-,-100,Cyber,array=RAM,folding=0,unroll_times=0,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=folding=0;LOOP_2=unroll_times=0;-100
699,5,273,312,85,0,1249,615,6,6,6.00,29,-,1.5501ns,-,-,-,-,24,-,-,100,Cyber,array=RAM,folding=1,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=folding=1;LOOP_2=folding=0;100
1582,3,273,654,645,0,3141,1240,3,3,3.00,10,0,1.858ns,-,-,-,-,15,-,-,-100,Cyber,array=EXPAND,array_index=const,folding=0,folding=0,ATTR=Cyber;ARRAY_1=array=EXPAND,array_index=const;LOOP_1=folding=0;LOOP_2=folding=0;-100
653,6,273,276,90,0,1227,599,6,6,6.00,14,-,1.5501ns,-,-,-,-,30,-,-,-100,Cyber,array=RAM,unroll_times=0,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=unroll_times=0;LOOP_2=folding=0;-100
2993,3,1521,654,808,0,6175,2826,3,3,3.00,10,0,1.89ns,-,-,-,-,15,-,-,100,Cyber,array=EXPAND,array_index=const,folding=0,folding=0,ATTR=Cyber;ARRAY_1=array=EXPAND,array_index=const;LOOP_1=folding=0;LOOP_2=folding=0;100
809,9,337,330,119,0,1589,773,9,9,9.00,23,-,1.9201ns,-,-,-,-,25,-,-,0,Cyber,array=RAM,folding=0,unroll_times=3,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=folding=0;LOOP_2=unroll_times=3;0
1168,4,273,654,210,14,1953,890,4,4,4.00,17,0,2.048ns,-,-,-,-,16,-,-,-50,Cyber,array=REG,folding=0,folding=0,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=folding=0;LOOP_2=folding=0;-50
799,10,315,330,130,0,1541,740,10,10,10.00,24,-,1.5501ns,-,-,-,-,26,-,-,-100,Cyber,array=RAM,unroll_times=3,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=unroll_times=3;LOOP_2=folding=0;-100
691,6,273,300,87,0,1266,619,7,7,7.00,31,-,1.1501ns,-,-,-,-,25,-,-,0,Cyber,array=RAM,folding=0,folding=1,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=folding=0;LOOP_2=folding=1;0
1168,4,273,654,210,14,1953,890,4,4,4.00,17,0,2.048ns,-,-,-,-,16,-,-,0,Cyber,array=REG,folding=0,unroll_times=0,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=folding=0;LOOP_2=unroll_times=0;0
691,6,273,300,87,0,1266,619,7,7,7.00,31,-,1.1501ns,-,-,-,-,25,-,-,-100,Cyber,array=RAM,unroll_times=0,folding=1,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=unroll_times=0;LOOP_2=folding=1;-100
1060,2,262,648,147,0,1585,735,2,2,2.00,3,0,1.858ns,-,-,-,-,8,-,-,0,Cyber,array=REG,unroll_times=4,folding=0,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=4;LOOP_2=folding=0;0
717,11,262,312,112,0,1421,680,11,11,11.00,31,-,1.5501ns,-,-,-,-,23,-,-,100,Cyber,array=RAM,unroll_times=4,unroll_times=0,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=unroll_times=4;LOOP_2=unroll_times=0;100
699,5,273,312,85,0,1249,615,6,6,6.00,29,-,1.5501ns,-,-,-,-,24,-,-,0,Cyber,array=RAM,folding=1,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=folding=1;LOOP_2=folding=0;0
691,6,273,300,87,0,1266,619,7,7,7.00,31,-,1.1501ns,-,-,-,-,25,-,-,100,Cyber,array=RAM,folding=0,folding=1,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=folding=0;LOOP_2=folding=1;100
1168,4,273,654,210,14,1953,890,4,4,4.00,17,0,2.048ns,-,-,-,-,16,-,-,100,Cyber,array=REG,folding=0,folding=0,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=folding=0;LOOP_2=folding=0;100
954,10,384,426,104,0,1778,868,11,11,11.00,40,-,1.405ns,-,-,-,-,17,-,-,100,Cyber,array=RAM,folding=1,unroll_times=4,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=folding=1;LOOP_2=unroll_times=4;100
717,11,262,312,112,0,1421,680,11,11,11.00,31,-,1.5501ns,-,-,-,-,23,-,-,50,Cyber,array=RAM,unroll_times=4,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=unroll_times=4;LOOP_2=folding=0;50
691,6,273,300,87,0,1266,619,7,7,7.00,31,-,1.1501ns,-,-,-,-,25,-,-,50,Cyber,array=RAM,folding=0,folding=1,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=folding=0;LOOP_2=folding=1;50
1168,4,273,654,210,14,1953,890,4,4,4.00,17,0,2.048ns,-,-,-,-,16,-,-,0,Cyber,array=REG,folding=0,folding=0,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=folding=0;LOOP_2=folding=0;0
1060,2,262,648,147,0,1585,735,2,2,2.00,3,0,1.858ns,-,-,-,-,8,-,-,-100,Cyber,array=REG,unroll_times=4,unroll_times=0,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=unroll_times=4;LOOP_2=unroll_times=0;-100
699,5,273,312,85,0,1249,615,6,6,6.00,29,-,1.5501ns,-,-,-,-,24,-,-,-50,Cyber,array=RAM,folding=1,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=folding=1;LOOP_2=folding=0;-50
717,11,262,312,112,0,1421,680,11,11,11.00,31,-,1.5501ns,-,-,-,-,23,-,-,100,Cyber,array=RAM,unroll_times=all,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=unroll_times=all;LOOP_2=folding=0;100
653,6,273,276,90,0,1227,599,6,6,6.00,14,-,1.5501ns,-,-,-,-,30,-,-,50,Cyber,array=RAM,unroll_times=0,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=unroll_times=0;LOOP_2=folding=0;50
653,6,273,276,90,0,1227,599,6,6,6.00,14,-,1.5501ns,-,-,-,-,30,-,-,-50,Cyber,array=RAM,folding=0,unroll_times=0,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=folding=0;LOOP_2=unroll_times=0;-50
1168,4,273,654,210,14,1953,890,4,4,4.00,17,0,2.048ns,-,-,-,-,16,-,-,-50,Cyber,array=REG,folding=0,unroll_times=0,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=folding=0;LOOP_2=unroll_times=0;-50
653,6,273,276,90,0,1227,599,6,6,6.00,14,-,1.5501ns,-,-,-,-,30,-,-,0,Cyber,array=RAM,unroll_times=0,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=unroll_times=0;LOOP_2=folding=0;0
688,13,119,342,191,0,1535,695,13,13,13.00,36,-,1.1175ns,-,-,-,-,25,-,-,-100,Cyber,array=RAM,folding=0,unroll_times=4,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=folding=0;LOOP_2=unroll_times=4;-100
717,11,262,312,112,0,1421,680,11,11,11.00,31,-,1.5501ns,-,-,-,-,23,-,-,-50,Cyber,array=RAM,unroll_times=4,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=unroll_times=4;LOOP_2=folding=0;-50
691,6,273,300,87,0,1266,619,7,7,7.00,31,-,1.1501ns,-,-,-,-,25,-,-,-50,Cyber,array=RAM,folding=0,folding=1,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=folding=0;LOOP_2=folding=1;-50
724,11,232,324,141,0,1503,707,11,11,11.00,27,-,1.625ns,-,-,-,-,23,-,-,0,Cyber,array=RAM,folding=0,unroll_times=4,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=folding=0;LOOP_2=unroll_times=4;0
1078,3,384,510,158,14,1893,880,3,3,3.00,12,0,1.405ns,-,-,-,-,9,-,-,0,Cyber,array=REG,folding=0,unroll_times=4,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=folding=0;LOOP_2=unroll_times=4;0
1128,4,273,654,169,14,1776,824,4,4,4.00,18,0,2.048ns,-,-,-,-,16,-,-,-50,Cyber,array=REG,folding=1,folding=0,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=folding=1;LOOP_2=folding=0;-50
1591,4,273,660,647,0,3138,1235,4,4,4.00,11,0,1.458ns,-,-,-,-,16,-,-,-100,Cyber,array=EXPAND,array_index=const,unroll_times=0,folding=1,ATTR=Cyber;ARRAY_1=array=EXPAND,array_index=const;LOOP_1=unroll_times=0;LOOP_2=folding=1;-100
717,11,262,312,112,0,1421,680,11,11,11.00,31,-,1.5501ns,-,-,-,-,23,-,-,-50,Cyber,array=RAM,unroll_times=all,folding=0,ATTR=Cyber;ARRAY_1=array=RAM;LOOP_1=unroll_times=all;LOOP_2=folding=0;-50
1783,6,758,756,233,14,3140,1536,6,6,6.00,22,0,3.042ns,-,-,-,-,15,-,-,100,Cyber,array=REG,folding=0,unroll_times=3,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=folding=0;LOOP_2=unroll_times=3;100
1054,7,124,624,266,14,1929,839,7,7,7.00,26,0,1.0525ns,-,-,-,-,13,-,-,-100,Cyber,array=REG,folding=1,unroll_times=all,ATTR=Cyber;ARRAY_1=array=REG;LOOP_1=folding=1;LOOP_2=unroll_times=all;-100
